properties.subDivision,Longitude,Latitude
GA,-85.175058,34.304988
TN,-89.351709,35.243267
KY,-85.640607,38.230934
KY,-84.127853,36.917473
GA,-85.228645,34.27103
TN,-83.986144,35.972065
KY,-85.516608,38.188278
IN,-85.897123,38.314964
KY,-85.702759,38.25811
IN,-86.937365,38.428059
TN,-83.974992,36.008258
IN,-85.838212,38.302987
TN,-83.992084,35.847249
KY,-85.578271,38.228318
TN,-84.010815,35.718157
KY,-85.539648,38.216539
AL,-85.943255,33.967377
IN,-87.592073,38.354779
TN,-83.998794,35.751784
KY,-85.621567,38.250605
KY,-85.639393,38.258547
TN,-83.980955,35.81517
IN,-85.80502,38.31618
KY,-84.579704,37.62745
IN,-85.769586,38.309233
KY,-84.107833,36.975243
TN,-83.980414,35.764842
KY,-84.337123,37.367225
TN,-83.928009,36.071819
TN,-83.929859,36.031113
AL,-86.0232,33.923723
MS,-88.403153,34.247378
TN,-83.933319,35.955964
TN,-83.925265,36.000893
IN,-85.816244,38.339388
KY,-85.62899,38.282809
KY,-85.526312,38.246836
GA,-85.161697,34.246075
KY,-85.568377,38.264042
KY,-84.074357,36.958015
MO,-89.536096,36.891026
TN,-83.943541,35.802067
IL,-88.932993,37.735515
TN,-83.914622,35.950546
IN,-85.712075,38.322936
AL,-87.26902,33.849139
KY,-85.578618,38.285577
AL,-86.823592,33.810496
GA,-84.914924,34.376415
TN,-83.889623,35.991068
KY,-85.348744,38.206092
MO,-89.689605,36.423862
IL,-88.963403,37.74047
IL,-89.234592,37.459972
MO,-89.583752,36.858516
TN,-83.870122,36.031396
KY,-84.11406,37.148478
KY,-85.511031,38.290231
IN,-87.286785,38.487455
MS,-88.701321,34.371207
IN,-85.701138,38.357653
MO,-89.726271,36.229358
KY,-84.097713,37.139065
KY,-85.620578,38.339158
AL,-87.835909,33.93602
TN,-83.843308,36.226613
KY,-84.072743,37.10656
GA,-84.321907,34.874203
KY,-85.268046,38.201702
IN,-85.765733,38.391406
TN,-89.644094,35.5773
IL,-88.933019,37.818468
IL,-88.543042,38.0898
AL,-87.242337,33.79094
GA,-84.478651,34.678172
IL,-87.763553,38.415741
KY,-84.908318,38.020217
AL,-86.468139,33.769412
TN,-83.839259,35.906919
TN,-89.515651,35.228572
MO,-89.541702,37.089603
AL,-87.066033,33.758805
IN,-86.613309,38.562283
KY,-85.204562,38.210014
KY,-85.465187,38.329716
AL,-85.612024,33.932534
MS,-88.707735,34.306777
IL,-89.026754,37.786528
IL,-89.073678,37.745853
KY,-85.069615,38.151414
KY,-84.918734,38.068446
KY,-84.311936,37.567375
TN,-83.772648,36.004721
IL,-88.059757,38.377347
KY,-83.870406,36.857727
KY,-84.598161,37.872153
IL,-88.951395,37.896837
MS,-88.791474,34.316336
AL,-86.682431,33.695345
GA,-85.235517,34.045526
MS,-89.027515,34.499483
KY,-84.284532,37.585491
IN,-85.671264,38.453099
TN,-83.755404,35.870289
MS,-88.71721,34.248697
MS,-88.703064,34.236259
IN,-85.770092,38.490941
GA,-85.252808,34.01865
MS,-88.745742,34.25513
GA,-84.807739,34.272533
NC,-84.03575,35.080663
IL,-89.219624,37.69929
AL,-85.761979,33.816242
